amount_to_invest,risk_level,horizon,experience,preferred_sector,preferred_type,stock_allocation,mf_allocation,etf_allocation,recommended
362936,High,6,Advanced,"FMCG,Tech,Infrastructure","Stocks,MF",63,37,0,"{""stocks"": [{""name"": ""ICICI Bank"", ""symbol"": ""ICICIBANK.NS""}, {""name"": ""L&T"", ""symbol"": ""LT.NS""}], ""mutual_funds"": [{""name"": ""ICICI Prudential US Bluechip Equity Fund - Direct Plan -IDCW"", ""symbol"": ""120185""}], ""etfs"": []}"
95785,Medium,5,Advanced,Tech,MF,0,100,0,"{""stocks"": [], ""mutual_funds"": [{""name"": ""ICICI Prudential US Bluechip Equity Fund - Direct Plan -IDCW"", ""symbol"": ""120185""}, {""name"": ""Nippon India Small Cap Fund - Growth"", ""symbol"": ""113177""}], ""etfs"": []}"
278378,Low,15,Beginner,"Infrastructure,Tech,Banking",ETF,0,0,100,"{""stocks"": [], ""mutual_funds"": [], ""etfs"": [{""name"": ""Sensex ETF"", ""symbol"": ""SENSEXBEES.NS""}, {""name"": ""Nifty Next 50 ETF"", ""symbol"": ""JUNIORBEES.NS""}]}"
265948,Low,10,Beginner,"Tech,Banking,FMCG,Infrastructure",MF,0,100,0,"{""stocks"": [], ""mutual_funds"": [{""name"": ""HDFC Hybrid Equity Fund - IDCW "", ""symbol"": ""119061""}, {""name"": ""ICICI Prudential US Bluechip Equity Fund - Direct Plan -IDCW"", ""symbol"": ""120185""}], ""etfs"": []}"
372132,Low,5,Beginner,"Tech,FMCG","Stocks,MF,ETF",40,28,32,"{""stocks"": [{""name"": ""ITC"", ""symbol"": ""ITC.NS""}, {""name"": ""Axis Bank"", ""symbol"": ""AXISBANK.NS""}], ""mutual_funds"": [{""name"": ""HDFC Hybrid Equity Fund - IDCW "", ""symbol"": ""119061""}, {""name"": ""ICICI Prudential US Bluechip Equity Fund - Direct Plan -IDCW"", ""symbol"": ""120185""}], ""etfs"": [{""name"": ""Nifty Next 50 ETF"", ""symbol"": ""JUNIORBEES.NS""}]}"
100173,High,7,Advanced,"FMCG,Infrastructure","Stocks,ETF",69,0,31,"{""stocks"": [{""name"": ""HUL"", ""symbol"": ""HINDUNILVR.NS""}, {""name"": ""Reliance Industries"", ""symbol"": ""RELIANCE.NS""}, {""name"": ""Axis Bank"", ""symbol"": ""AXISBANK.NS""}], ""mutual_funds"": [], ""etfs"": [{""name"": ""Sensex ETF"", ""symbol"": ""SENSEXBEES.NS""}]}"
422157,Low,15,Intermediate,"Infrastructure,Banking,Tech,FMCG",Stocks,100,0,0,"{""stocks"": [{""name"": ""Reliance Industries"", ""symbol"": ""RELIANCE.NS""}, {""name"": ""Axis Bank"", ""symbol"": ""AXISBANK.NS""}], ""mutual_funds"": [], ""etfs"": []}"
480951,Medium,11,Advanced,"FMCG,Infrastructure,Tech","MF,ETF",0,73,27,"{""stocks"": [], ""mutual_funds"": [{""name"": ""ICICI Prudential US Bluechip Equity Fund - Direct Plan -IDCW"", ""symbol"": ""120185""}], ""etfs"": [{""name"": ""Nifty Next 50 ETF"", ""symbol"": ""JUNIORBEES.NS""}, {""name"": ""Sensex ETF"", ""symbol"": ""SENSEXBEES.NS""}]}"
452788,High,7,Advanced,"Infrastructure,Banking",Stocks,100,0,0,"{""stocks"": [{""name"": ""ITC"", ""symbol"": ""ITC.NS""}, {""name"": ""Axis Bank"", ""symbol"": ""AXISBANK.NS""}, {""name"": ""L&T"", ""symbol"": ""LT.NS""}], ""mutual_funds"": [], ""etfs"": []}"
117117,High,3,Advanced,"Infrastructure,Banking,Tech","Stocks,ETF",73,0,27,"{""stocks"": [{""name"": ""SBI"", ""symbol"": ""SBIN.NS""}, {""name"": ""ICICI Bank"", ""symbol"": ""ICICIBANK.NS""}], ""mutual_funds"": [], ""etfs"": [{""name"": ""Nifty 50 ETF"", ""symbol"": ""NIFTYBEES.NS""}, {""name"": ""Sensex ETF"", ""symbol"": ""SENSEXBEES.NS""}]}"
161141,High,14,Advanced,"FMCG,Infrastructure","MF,ETF",0,36,64,"{""stocks"": [], ""mutual_funds"": [{""name"": ""Nippon India Small Cap Fund - Growth"", ""symbol"": ""113177""}, {""name"": ""ICICI Prudential US Bluechip Equity Fund - Direct Plan -IDCW"", ""symbol"": ""120185""}], ""etfs"": [{""name"": ""Nifty Next 50 ETF"", ""symbol"": ""JUNIORBEES.NS""}, {""name"": ""Nifty 50 ETF"", ""symbol"": ""NIFTYBEES.NS""}]}"
335318,Low,13,Beginner,"Infrastructure,Tech","MF,ETF",0,59,41,"{""stocks"": [], ""mutual_funds"": [{""name"": ""HDFC Hybrid Equity Fund - IDCW "", ""symbol"": ""119061""}], ""etfs"": [{""name"": ""Nifty Next 50 ETF"", ""symbol"": ""JUNIORBEES.NS""}, {""name"": ""Nifty 50 ETF"", ""symbol"": ""NIFTYBEES.NS""}]}"
177698,Medium,12,Intermediate,Tech,"Stocks,MF",58,42,0,"{""stocks"": [{""name"": ""ICICI Bank"", ""symbol"": ""ICICIBANK.NS""}, {""name"": ""L&T"", ""symbol"": ""LT.NS""}, {""name"": ""TCS"", ""symbol"": ""TCS.NS""}], ""mutual_funds"": [{""name"": ""ICICI Prudential US Bluechip Equity Fund - Direct Plan -IDCW"", ""symbol"": ""120185""}, {""name"": ""HDFC Hybrid Equity Fund - IDCW "", ""symbol"": ""119061""}], ""etfs"": []}"
198422,Medium,8,Beginner,"Tech,FMCG,Banking","MF,ETF",0,53,47,"{""stocks"": [], ""mutual_funds"": [{""name"": ""HDFC Hybrid Equity Fund - IDCW "", ""symbol"": ""119061""}], ""etfs"": [{""name"": ""Sensex ETF"", ""symbol"": ""SENSEXBEES.NS""}, {""name"": ""Nifty Next 50 ETF"", ""symbol"": ""JUNIORBEES.NS""}]}"
113259,Low,11,Beginner,"Tech,FMCG,Infrastructure","MF,ETF",0,41,59,"{""stocks"": [], ""mutual_funds"": [{""name"": ""Nippon India Small Cap Fund - Growth"", ""symbol"": ""113177""}, {""name"": ""HDFC Hybrid Equity Fund - IDCW "", ""symbol"": ""119061""}], ""etfs"": [{""name"": ""Nifty 50 ETF"", ""symbol"": ""NIFTYBEES.NS""}]}"
357389,Low,15,Advanced,"Banking,Tech,Infrastructure","Stocks,MF,ETF",30,22,48,"{""stocks"": [{""name"": ""ITC"", ""symbol"": ""ITC.NS""}, {""name"": ""HUL"", ""symbol"": ""HINDUNILVR.NS""}, {""name"": ""Reliance Industries"", ""symbol"": ""RELIANCE.NS""}], ""mutual_funds"": [{""name"": ""ICICI Prudential US Bluechip Equity Fund - Direct Plan -IDCW"", ""symbol"": ""120185""}, {""name"": ""HDFC Hybrid Equity Fund - IDCW "", ""symbol"": ""119061""}], ""etfs"": [{""name"": ""Nifty 50 ETF"", ""symbol"": ""NIFTYBEES.NS""}]}"
350151,Low,7,Beginner,"FMCG,Tech,Banking","MF,ETF",0,68,32,"{""stocks"": [], ""mutual_funds"": [{""name"": ""Nippon India Small Cap Fund - Growth"", ""symbol"": ""113177""}, {""name"": ""HDFC Hybrid Equity Fund - IDCW "", ""symbol"": ""119061""}], ""etfs"": [{""name"": ""Sensex ETF"", ""symbol"": ""SENSEXBEES.NS""}]}"
215660,High,11,Intermediate,"Infrastructure,FMCG,Tech",Stocks,100,0,0,"{""stocks"": [{""name"": ""HDFC Bank"", ""symbol"": ""HDFCBANK.NS""}, {""name"": ""ICICI Bank"", ""symbol"": ""ICICIBANK.NS""}, {""name"": ""ITC"", ""symbol"": ""ITC.NS""}], ""mutual_funds"": [], ""etfs"": []}"
139516,Medium,10,Beginner,"Banking,FMCG","Stocks,ETF",68,0,32,"{""stocks"": [{""name"": ""Reliance Industries"", ""symbol"": ""RELIANCE.NS""}, {""name"": ""SBI"", ""symbol"": ""SBIN.NS""}, {""name"": ""L&T"", ""symbol"": ""LT.NS""}], ""mutual_funds"": [], ""etfs"": [{""name"": ""Nifty Next 50 ETF"", ""symbol"": ""JUNIORBEES.NS""}]}"
371895,Medium,10,Advanced,Banking,ETF,0,0,100,"{""stocks"": [], ""mutual_funds"": [], ""etfs"": [{""name"": ""Nifty Next 50 ETF"", ""symbol"": ""JUNIORBEES.NS""}]}"
203475,Low,12,Beginner,"Infrastructure,Banking,FMCG,Tech","MF,ETF",0,62,38,"{""stocks"": [], ""mutual_funds"": [{""name"": ""ICICI Prudential US Bluechip Equity Fund - Direct Plan -IDCW"", ""symbol"": ""120185""}], ""etfs"": [{""name"": ""Sensex ETF"", ""symbol"": ""SENSEXBEES.NS""}]}"
186735,High,1,Intermediate,"Banking,Infrastructure","Stocks,MF,ETF",34,14,52,"{""stocks"": [{""name"": ""Reliance Industries"", ""symbol"": ""RELIANCE.NS""}, {""name"": ""Axis Bank"", ""symbol"": ""AXISBANK.NS""}], ""mutual_funds"": [{""name"": ""Nippon India Small Cap Fund - Growth"", ""symbol"": ""113177""}], ""etfs"": [{""name"": ""Nifty 50 ETF"", ""symbol"": ""NIFTYBEES.NS""}]}"
82630,High,10,Beginner,"FMCG,Tech,Banking","Stocks,MF",59,41,0,"{""stocks"": [{""name"": ""Axis Bank"", ""symbol"": ""AXISBANK.NS""}, {""name"": ""L&T"", ""symbol"": ""LT.NS""}, {""name"": ""ICICI Bank"", ""symbol"": ""ICICIBANK.NS""}], ""mutual_funds"": [{""name"": ""Nippon India Small Cap Fund - Growth"", ""symbol"": ""113177""}], ""etfs"": []}"
47533,High,3,Beginner,"FMCG,Tech,Banking","MF,ETF",0,40,60,"{""stocks"": [], ""mutual_funds"": [{""name"": ""HDFC Hybrid Equity Fund - IDCW "", ""symbol"": ""119061""}, {""name"": ""Nippon India Small Cap Fund - Growth"", ""symbol"": ""113177""}], ""etfs"": [{""name"": ""Nifty 50 ETF"", ""symbol"": ""NIFTYBEES.NS""}, {""name"": ""Nifty Next 50 ETF"", ""symbol"": ""JUNIORBEES.NS""}]}"
233992,Medium,6,Advanced,"FMCG,Banking","Stocks,MF",76,24,0,"{""stocks"": [{""name"": ""ICICI Bank"", ""symbol"": ""ICICIBANK.NS""}], ""mutual_funds"": [{""name"": ""ICICI Prudential US Bluechip Equity Fund - Direct Plan -IDCW"", ""symbol"": ""120185""}, {""name"": ""HDFC Hybrid Equity Fund - IDCW "", ""symbol"": ""119061""}], ""etfs"": []}"
42196,Low,15,Intermediate,"FMCG,Tech","Stocks,MF,ETF",40,34,26,"{""stocks"": [{""name"": ""TCS"", ""symbol"": ""TCS.NS""}, {""name"": ""ITC"", ""symbol"": ""ITC.NS""}], ""mutual_funds"": [{""name"": ""Nippon India Small Cap Fund - Growth"", ""symbol"": ""113177""}, {""name"": ""ICICI Prudential US Bluechip Equity Fund - Direct Plan -IDCW"", ""symbol"": ""120185""}], ""etfs"": [{""name"": ""Nifty Next 50 ETF"", ""symbol"": ""JUNIORBEES.NS""}]}"
389330,Medium,2,Intermediate,"FMCG,Tech,Infrastructure,Banking",MF,0,100,0,"{""stocks"": [], ""mutual_funds"": [{""name"": ""ICICI Prudential US Bluechip Equity Fund - Direct Plan -IDCW"", ""symbol"": ""120185""}, {""name"": ""Nippon India Small Cap Fund - Growth"", ""symbol"": ""113177""}], ""etfs"": []}"
162793,Medium,5,Beginner,"FMCG,Banking,Infrastructure",MF,0,100,0,"{""stocks"": [], ""mutual_funds"": [{""name"": ""HDFC Hybrid Equity Fund - IDCW "", ""symbol"": ""119061""}, {""name"": ""ICICI Prudential US Bluechip Equity Fund - Direct Plan -IDCW"", ""symbol"": ""120185""}], ""etfs"": []}"
249025,Medium,10,Intermediate,"Banking,Infrastructure,FMCG,Tech",Stocks,100,0,0,"{""stocks"": [{""name"": ""Axis Bank"", ""symbol"": ""AXISBANK.NS""}], ""mutual_funds"": [], ""etfs"": []}"
115494,High,9,Advanced,"FMCG,Banking",MF,0,100,0,"{""stocks"": [], ""mutual_funds"": [{""name"": ""Nippon India Small Cap Fund - Growth"", ""symbol"": ""113177""}, {""name"": ""HDFC Hybrid Equity Fund - IDCW "", ""symbol"": ""119061""}], ""etfs"": []}"
119639,Medium,4,Intermediate,Banking,ETF,0,0,100,"{""stocks"": [], ""mutual_funds"": [], ""etfs"": [{""name"": ""Nifty 50 ETF"", ""symbol"": ""NIFTYBEES.NS""}, {""name"": ""Nifty Next 50 ETF"", ""symbol"": ""JUNIORBEES.NS""}]}"
28932,High,4,Advanced,Infrastructure,"Stocks,ETF",62,0,38,"{""stocks"": [{""name"": ""SBI"", ""symbol"": ""SBIN.NS""}, {""name"": ""TCS"", ""symbol"": ""TCS.NS""}, {""name"": ""Reliance Industries"", ""symbol"": ""RELIANCE.NS""}], ""mutual_funds"": [], ""etfs"": [{""name"": ""Sensex ETF"", ""symbol"": ""SENSEXBEES.NS""}, {""name"": ""Nifty 50 ETF"", ""symbol"": ""NIFTYBEES.NS""}]}"
458642,High,14,Intermediate,"Tech,FMCG,Banking,Infrastructure","Stocks,MF,ETF",23,50,27,"{""stocks"": [{""name"": ""L&T"", ""symbol"": ""LT.NS""}], ""mutual_funds"": [{""name"": ""Nippon India Small Cap Fund - Growth"", ""symbol"": ""113177""}, {""name"": ""HDFC Hybrid Equity Fund - IDCW "", ""symbol"": ""119061""}], ""etfs"": [{""name"": ""Sensex ETF"", ""symbol"": ""SENSEXBEES.NS""}]}"
271008,Medium,6,Intermediate,"Infrastructure,Tech","MF,ETF",0,36,64,"{""stocks"": [], ""mutual_funds"": [{""name"": ""ICICI Prudential US Bluechip Equity Fund - Direct Plan -IDCW"", ""symbol"": ""120185""}], ""etfs"": [{""name"": ""Sensex ETF"", ""symbol"": ""SENSEXBEES.NS""}]}"
250146,High,15,Intermediate,"Infrastructure,Banking,Tech,FMCG","Stocks,MF",74,26,0,"{""stocks"": [{""name"": ""TCS"", ""symbol"": ""TCS.NS""}, {""name"": ""Infosys"", ""symbol"": ""INFY.NS""}], ""mutual_funds"": [{""name"": ""Nippon India Small Cap Fund - Growth"", ""symbol"": ""113177""}], ""etfs"": []}"
208672,High,3,Beginner,"Infrastructure,Banking",Stocks,100,0,0,"{""stocks"": [{""name"": ""TCS"", ""symbol"": ""TCS.NS""}, {""name"": ""Axis Bank"", ""symbol"": ""AXISBANK.NS""}, {""name"": ""ITC"", ""symbol"": ""ITC.NS""}], ""mutual_funds"": [], ""etfs"": []}"
467955,Medium,5,Intermediate,"FMCG,Infrastructure,Banking","Stocks,ETF",53,0,47,"{""stocks"": [{""name"": ""SBI"", ""symbol"": ""SBIN.NS""}, {""name"": ""ITC"", ""symbol"": ""ITC.NS""}, {""name"": ""Infosys"", ""symbol"": ""INFY.NS""}], ""mutual_funds"": [], ""etfs"": [{""name"": ""Nifty 50 ETF"", ""symbol"": ""NIFTYBEES.NS""}]}"
102978,High,2,Beginner,"Tech,FMCG,Infrastructure","Stocks,ETF",75,0,25,"{""stocks"": [{""name"": ""SBI"", ""symbol"": ""SBIN.NS""}, {""name"": ""Reliance Industries"", ""symbol"": ""RELIANCE.NS""}, {""name"": ""ICICI Bank"", ""symbol"": ""ICICIBANK.NS""}], ""mutual_funds"": [], ""etfs"": [{""name"": ""Nifty Next 50 ETF"", ""symbol"": ""JUNIORBEES.NS""}]}"
115015,Medium,15,Intermediate,Tech,"Stocks,ETF",44,0,56,"{""stocks"": [{""name"": ""HUL"", ""symbol"": ""HINDUNILVR.NS""}, {""name"": ""TCS"", ""symbol"": ""TCS.NS""}, {""name"": ""Reliance Industries"", ""symbol"": ""RELIANCE.NS""}], ""mutual_funds"": [], ""etfs"": [{""name"": ""Sensex ETF"", ""symbol"": ""SENSEXBEES.NS""}]}"
293095,High,10,Advanced,Banking,MF,0,100,0,"{""stocks"": [], ""mutual_funds"": [{""name"": ""HDFC Hybrid Equity Fund - IDCW "", ""symbol"": ""119061""}], ""etfs"": []}"
215441,High,9,Intermediate,"Infrastructure,Banking,Tech,FMCG","MF,ETF",0,70,30,"{""stocks"": [], ""mutual_funds"": [{""name"": ""HDFC Hybrid Equity Fund - IDCW "", ""symbol"": ""119061""}], ""etfs"": [{""name"": ""Nifty Next 50 ETF"", ""symbol"": ""JUNIORBEES.NS""}]}"
149886,Low,5,Advanced,FMCG,"Stocks,MF,ETF",51,28,21,"{""stocks"": [{""name"": ""HUL"", ""symbol"": ""HINDUNILVR.NS""}], ""mutual_funds"": [{""name"": ""HDFC Hybrid Equity Fund - IDCW "", ""symbol"": ""119061""}], ""etfs"": [{""name"": ""Nifty 50 ETF"", ""symbol"": ""NIFTYBEES.NS""}, {""name"": ""Nifty Next 50 ETF"", ""symbol"": ""JUNIORBEES.NS""}]}"
144641,High,3,Advanced,"Infrastructure,Banking,FMCG","Stocks,MF",54,46,0,"{""stocks"": [{""name"": ""Axis Bank"", ""symbol"": ""AXISBANK.NS""}, {""name"": ""TCS"", ""symbol"": ""TCS.NS""}], ""mutual_funds"": [{""name"": ""ICICI Prudential US Bluechip Equity Fund - Direct Plan -IDCW"", ""symbol"": ""120185""}, {""name"": ""HDFC Hybrid Equity Fund - IDCW "", ""symbol"": ""119061""}], ""etfs"": []}"
172520,Medium,11,Beginner,FMCG,"Stocks,MF,ETF",66,20,14,"{""stocks"": [{""name"": ""ITC"", ""symbol"": ""ITC.NS""}, {""name"": ""SBI"", ""symbol"": ""SBIN.NS""}], ""mutual_funds"": [{""name"": ""Nippon India Small Cap Fund - Growth"", ""symbol"": ""113177""}, {""name"": ""ICICI Prudential US Bluechip Equity Fund - Direct Plan -IDCW"", ""symbol"": ""120185""}], ""etfs"": [{""name"": ""Nifty 50 ETF"", ""symbol"": ""NIFTYBEES.NS""}, {""name"": ""Nifty Next 50 ETF"", ""symbol"": ""JUNIORBEES.NS""}]}"
323092,Low,3,Advanced,Tech,ETF,0,0,100,"{""stocks"": [], ""mutual_funds"": [], ""etfs"": [{""name"": ""Nifty Next 50 ETF"", ""symbol"": ""JUNIORBEES.NS""}]}"
455506,Low,14,Beginner,FMCG,"Stocks,MF,ETF",58,9,33,"{""stocks"": [{""name"": ""HUL"", ""symbol"": ""HINDUNILVR.NS""}, {""name"": ""TCS"", ""symbol"": ""TCS.NS""}, {""name"": ""ICICI Bank"", ""symbol"": ""ICICIBANK.NS""}], ""mutual_funds"": [{""name"": ""ICICI Prudential US Bluechip Equity Fund - Direct Plan -IDCW"", ""symbol"": ""120185""}, {""name"": ""HDFC Hybrid Equity Fund - IDCW "", ""symbol"": ""119061""}], ""etfs"": [{""name"": ""Sensex ETF"", ""symbol"": ""SENSEXBEES.NS""}]}"
43044,Medium,1,Intermediate,"Banking,Tech,Infrastructure,FMCG","Stocks,MF",61,39,0,"{""stocks"": [{""name"": ""TCS"", ""symbol"": ""TCS.NS""}, {""name"": ""L&T"", ""symbol"": ""LT.NS""}], ""mutual_funds"": [{""name"": ""ICICI Prudential US Bluechip Equity Fund - Direct Plan -IDCW"", ""symbol"": ""120185""}], ""etfs"": []}"
144628,Medium,9,Intermediate,"Banking,Tech,Infrastructure,FMCG",Stocks,100,0,0,"{""stocks"": [{""name"": ""TCS"", ""symbol"": ""TCS.NS""}, {""name"": ""L&T"", ""symbol"": ""LT.NS""}, {""name"": ""Reliance Industries"", ""symbol"": ""RELIANCE.NS""}], ""mutual_funds"": [], ""etfs"": []}"
36175,High,14,Advanced,"Infrastructure,Banking,FMCG","Stocks,MF,ETF",28,34,38,"{""stocks"": [{""name"": ""SBI"", ""symbol"": ""SBIN.NS""}], ""mutual_funds"": [{""name"": ""Nippon India Small Cap Fund - Growth"", ""symbol"": ""113177""}], ""etfs"": [{""name"": ""Nifty Next 50 ETF"", ""symbol"": ""JUNIORBEES.NS""}]}"
48092,Low,1,Intermediate,"Tech,FMCG,Infrastructure,Banking",MF,0,100,0,"{""stocks"": [], ""mutual_funds"": [{""name"": ""HDFC Hybrid Equity Fund - IDCW "", ""symbol"": ""119061""}], ""etfs"": []}"
38179,Low,12,Intermediate,"FMCG,Banking",ETF,0,0,100,"{""stocks"": [], ""mutual_funds"": [], ""etfs"": [{""name"": ""Sensex ETF"", ""symbol"": ""SENSEXBEES.NS""}]}"
279597,High,14,Intermediate,Infrastructure,"MF,ETF",0,48,52,"{""stocks"": [], ""mutual_funds"": [{""name"": ""Nippon India Small Cap Fund - Growth"", ""symbol"": ""113177""}], ""etfs"": [{""name"": ""Nifty Next 50 ETF"", ""symbol"": ""JUNIORBEES.NS""}]}"
24343,Medium,14,Intermediate,"FMCG,Tech","Stocks,MF,ETF",50,27,23,"{""stocks"": [{""name"": ""TCS"", ""symbol"": ""TCS.NS""}, {""name"": ""ITC"", ""symbol"": ""ITC.NS""}, {""name"": ""L&T"", ""symbol"": ""LT.NS""}], ""mutual_funds"": [{""name"": ""ICICI Prudential US Bluechip Equity Fund - Direct Plan -IDCW"", ""symbol"": ""120185""}], ""etfs"": [{""name"": ""Sensex ETF"", ""symbol"": ""SENSEXBEES.NS""}]}"
393162,Medium,6,Intermediate,"Tech,Banking,Infrastructure,FMCG","Stocks,ETF",76,0,24,"{""stocks"": [{""name"": ""Infosys"", ""symbol"": ""INFY.NS""}, {""name"": ""SBI"", ""symbol"": ""SBIN.NS""}], ""mutual_funds"": [], ""etfs"": [{""name"": ""Nifty Next 50 ETF"", ""symbol"": ""JUNIORBEES.NS""}]}"
280937,Low,5,Beginner,"FMCG,Tech,Infrastructure","MF,ETF",0,56,44,"{""stocks"": [], ""mutual_funds"": [{""name"": ""Nippon India Small Cap Fund - Growth"", ""symbol"": ""113177""}, {""name"": ""ICICI Prudential US Bluechip Equity Fund - Direct Plan -IDCW"", ""symbol"": ""120185""}], ""etfs"": [{""name"": ""Nifty 50 ETF"", ""symbol"": ""NIFTYBEES.NS""}, {""name"": ""Sensex ETF"", ""symbol"": ""SENSEXBEES.NS""}]}"
225542,High,1,Beginner,Tech,MF,0,100,0,"{""stocks"": [], ""mutual_funds"": [{""name"": ""HDFC Hybrid Equity Fund - IDCW "", ""symbol"": ""119061""}, {""name"": ""ICICI Prudential US Bluechip Equity Fund - Direct Plan -IDCW"", ""symbol"": ""120185""}], ""etfs"": []}"
400775,High,3,Advanced,"FMCG,Banking,Infrastructure,Tech",Stocks,100,0,0,"{""stocks"": [{""name"": ""HUL"", ""symbol"": ""HINDUNILVR.NS""}, {""name"": ""TCS"", ""symbol"": ""TCS.NS""}], ""mutual_funds"": [], ""etfs"": []}"
401360,Medium,2,Beginner,Banking,ETF,0,0,100,"{""stocks"": [], ""mutual_funds"": [], ""etfs"": [{""name"": ""Nifty 50 ETF"", ""symbol"": ""NIFTYBEES.NS""}, {""name"": ""Sensex ETF"", ""symbol"": ""SENSEXBEES.NS""}]}"
396537,Medium,10,Intermediate,"Banking,Infrastructure","MF,ETF",0,45,55,"{""stocks"": [], ""mutual_funds"": [{""name"": ""ICICI Prudential US Bluechip Equity Fund - Direct Plan -IDCW"", ""symbol"": ""120185""}, {""name"": ""HDFC Hybrid Equity Fund - IDCW "", ""symbol"": ""119061""}], ""etfs"": [{""name"": ""Sensex ETF"", ""symbol"": ""SENSEXBEES.NS""}]}"
141997,Medium,6,Beginner,Infrastructure,MF,0,100,0,"{""stocks"": [], ""mutual_funds"": [{""name"": ""HDFC Hybrid Equity Fund - IDCW "", ""symbol"": ""119061""}], ""etfs"": []}"
111689,Medium,5,Advanced,"Infrastructure,FMCG",ETF,0,0,100,"{""stocks"": [], ""mutual_funds"": [], ""etfs"": [{""name"": ""Nifty 50 ETF"", ""symbol"": ""NIFTYBEES.NS""}, {""name"": ""Sensex ETF"", ""symbol"": ""SENSEXBEES.NS""}]}"
134016,High,1,Advanced,Banking,ETF,0,0,100,"{""stocks"": [], ""mutual_funds"": [], ""etfs"": [{""name"": ""Nifty Next 50 ETF"", ""symbol"": ""JUNIORBEES.NS""}, {""name"": ""Sensex ETF"", ""symbol"": ""SENSEXBEES.NS""}]}"
299974,High,5,Intermediate,"FMCG,Infrastructure","Stocks,MF,ETF",50,22,28,"{""stocks"": [{""name"": ""ICICI Bank"", ""symbol"": ""ICICIBANK.NS""}, {""name"": ""Infosys"", ""symbol"": ""INFY.NS""}, {""name"": ""L&T"", ""symbol"": ""LT.NS""}], ""mutual_funds"": [{""name"": ""ICICI Prudential US Bluechip Equity Fund - Direct Plan -IDCW"", ""symbol"": ""120185""}, {""name"": ""Nippon India Small Cap Fund - Growth"", ""symbol"": ""113177""}], ""etfs"": [{""name"": ""Nifty Next 50 ETF"", ""symbol"": ""JUNIORBEES.NS""}, {""name"": ""Sensex ETF"", ""symbol"": ""SENSEXBEES.NS""}]}"
434406,Low,3,Advanced,Banking,ETF,0,0,100,"{""stocks"": [], ""mutual_funds"": [], ""etfs"": [{""name"": ""Sensex ETF"", ""symbol"": ""SENSEXBEES.NS""}, {""name"": ""Nifty 50 ETF"", ""symbol"": ""NIFTYBEES.NS""}]}"
136622,High,12,Advanced,"Infrastructure,Tech,FMCG,Banking",ETF,0,0,100,"{""stocks"": [], ""mutual_funds"": [], ""etfs"": [{""name"": ""Nifty 50 ETF"", ""symbol"": ""NIFTYBEES.NS""}]}"
412181,Low,12,Advanced,Infrastructure,MF,0,100,0,"{""stocks"": [], ""mutual_funds"": [{""name"": ""HDFC Hybrid Equity Fund - IDCW "", ""symbol"": ""119061""}], ""etfs"": []}"
23780,High,1,Advanced,"Banking,Tech","Stocks,MF",69,31,0,"{""stocks"": [{""name"": ""ICICI Bank"", ""symbol"": ""ICICIBANK.NS""}, {""name"": ""ITC"", ""symbol"": ""ITC.NS""}], ""mutual_funds"": [{""name"": ""ICICI Prudential US Bluechip Equity Fund - Direct Plan -IDCW"", ""symbol"": ""120185""}], ""etfs"": []}"
224976,Medium,1,Advanced,Infrastructure,Stocks,100,0,0,"{""stocks"": [{""name"": ""SBI"", ""symbol"": ""SBIN.NS""}], ""mutual_funds"": [], ""etfs"": []}"
457526,Low,14,Advanced,Tech,"Stocks,MF",43,57,0,"{""stocks"": [{""name"": ""Axis Bank"", ""symbol"": ""AXISBANK.NS""}, {""name"": ""SBI"", ""symbol"": ""SBIN.NS""}, {""name"": ""HDFC Bank"", ""symbol"": ""HDFCBANK.NS""}], ""mutual_funds"": [{""name"": ""Nippon India Small Cap Fund - Growth"", ""symbol"": ""113177""}], ""etfs"": []}"
214046,High,9,Advanced,Tech,"Stocks,ETF",79,0,21,"{""stocks"": [{""name"": ""SBI"", ""symbol"": ""SBIN.NS""}, {""name"": ""Reliance Industries"", ""symbol"": ""RELIANCE.NS""}], ""mutual_funds"": [], ""etfs"": [{""name"": ""Sensex ETF"", ""symbol"": ""SENSEXBEES.NS""}, {""name"": ""Nifty Next 50 ETF"", ""symbol"": ""JUNIORBEES.NS""}]}"
374541,Low,14,Intermediate,"FMCG,Tech",MF,0,100,0,"{""stocks"": [], ""mutual_funds"": [{""name"": ""Nippon India Small Cap Fund - Growth"", ""symbol"": ""113177""}], ""etfs"": []}"
213524,Low,15,Intermediate,"Banking,FMCG",Stocks,100,0,0,"{""stocks"": [{""name"": ""Infosys"", ""symbol"": ""INFY.NS""}, {""name"": ""ITC"", ""symbol"": ""ITC.NS""}], ""mutual_funds"": [], ""etfs"": []}"
236780,Medium,10,Intermediate,"FMCG,Banking,Tech,Infrastructure","MF,ETF",0,73,27,"{""stocks"": [], ""mutual_funds"": [{""name"": ""ICICI Prudential US Bluechip Equity Fund - Direct Plan -IDCW"", ""symbol"": ""120185""}], ""etfs"": [{""name"": ""Nifty Next 50 ETF"", ""symbol"": ""JUNIORBEES.NS""}]}"
140019,High,9,Intermediate,"FMCG,Tech,Banking",Stocks,100,0,0,"{""stocks"": [{""name"": ""TCS"", ""symbol"": ""TCS.NS""}, {""name"": ""HDFC Bank"", ""symbol"": ""HDFCBANK.NS""}], ""mutual_funds"": [], ""etfs"": []}"
